ZONE I=5, J=5
ZONE I=5, J=5
0.6 0.2 0.537482
0.625 0.2 0.518752
0.65 0.2 0.500022
0.675 0.2 0.481291
0.7 0.2 0.462561
0.6 0.25 0.569232
0.625 0.25 0.551456
0.65 0.25 0.533681
0.675 0.25 0.515906
0.7 0.25 0.498131
0.6 0.3 0.600981
0.625 0.3 0.584161
0.65 0.3 0.567341
0.675 0.3 0.550521
0.7 0.3 0.533701
0.6 0.35 0.63273
0.625 0.35 0.616865
0.65 0.35 0.601
0.675 0.35 0.585135
0.7 0.35 0.56927
0.6 0.4 0.664479
0.625 0.4 0.64957
0.65 0.4 0.63466
0.675 0.4 0.61975
0.7 0.4 0.60484
ZONE I=5, J=5
0.7 0.2 0.462561
0.725 0.2 0.442005
0.75 0.2 0.42145
0.775 0.2 0.400894
0.8 0.2 0.380338
0.7 0.25 0.498131
0.725 0.25 0.478504
0.75 0.25 0.458877
0.775 0.25 0.439251
0.8 0.25 0.419624
0.7 0.3 0.533701
0.725 0.3 0.515003
0.75 0.3 0.496305
0.775 0.3 0.477607
0.8 0.3 0.458909
0.7 0.35 0.56927
0.725 0.35 0.551501
0.75 0.35 0.533733
0.775 0.35 0.515964
0.8 0.35 0.498195
0.7 0.4 0.60484
0.725 0.4 0.588
0.75 0.4 0.57116
0.775 0.4 0.55432
0.8 0.4 0.53748
ZONE I=5, J=5
0.8 0.2 0.380338
0.825 0.2 0.358144
0.85 0.2 0.33595
0.875 0.2 0.313755
0.9 0.2 0.291561
0.8 0.25 0.419624
0.825 0.25 0.398286
0.85 0.25 0.376948
0.875 0.25 0.355609
0.9 0.25 0.334271
0.8 0.3 0.458909
0.825 0.3 0.438427
0.85 0.3 0.417945
0.875 0.3 0.397463
0.9 0.3 0.376982
0.8 0.35 0.498195
0.825 0.35 0.478569
0.85 0.35 0.458943
0.875 0.35 0.439318
0.9 0.35 0.419692
0.8 0.4 0.53748
0.825 0.4 0.518711
0.85 0.4 0.499941
0.875 0.4 0.481172
0.9 0.4 0.462402
ZONE I=5, J=5
0.9 0.2 0.291561
0.925 0.2 0.268014
0.95 0.2 0.244468
0.975 0.2 0.220922
1 0.2 0.197375
0.9 0.25 0.334271
0.925 0.25 0.311458
0.95 0.25 0.288645
0.975 0.25 0.265832
1 0.25 0.243019
0.9 0.3 0.376982
0.925 0.3 0.354902
0.95 0.3 0.332822
0.975 0.3 0.310742
1 0.3 0.288662
0.9 0.35 0.419692
0.925 0.35 0.398345
0.95 0.35 0.376999
0.975 0.35 0.355652
1 0.35 0.334306
0.9 0.4 0.462402
0.925 0.4 0.441789
0.95 0.4 0.421176
0.975 0.4 0.400562
1 0.4 0.379949
ZONE I=5, J=5
0 0.4 0.885352
0.025 0.4 0.879455
0.05 0.4 0.873559
0.075 0.4 0.867662
0.1 0.4 0.861766
0 0.45 0.894431
0.025 0.45 0.888976
0.05 0.45 0.883522
0.075 0.45 0.878067
0.1 0.45 0.872612
0 0.5 0.90351
0.025 0.5 0.898497
0.05 0.5 0.893485
0.075 0.5 0.888472
0.1 0.5 0.883459
0 0.55 0.912589
0.025 0.55 0.908018
0.05 0.55 0.903448
0.075 0.55 0.898877
0.1 0.55 0.894306
0 0.6 0.921669
0.025 0.6 0.91754
0.05 0.6 0.91341
0.075 0.6 0.909281
0.1 0.6 0.905152
ZONE I=5, J=5
0.1 0.4 0.861766
0.125 0.4 0.854764
0.15 0.4 0.847763
0.175 0.4 0.840762
0.2 0.4 0.833761
0.1 0.45 0.872612
0.125 0.45 0.866126
0.15 0.45 0.859639
0.175 0.45 0.853153
0.2 0.45 0.846667
0.1 0.5 0.883459
0.125 0.5 0.877487
0.15 0.5 0.871516
0.175 0.5 0.865544
0.2 0.5 0.859572
0.1 0.55 0.894306
0.125 0.55 0.888849
0.15 0.55 0.883392
0.175 0.55 0.877935
0.2 0.55 0.872478
0.1 0.6 0.905152
0.125 0.6 0.90021
0.15 0.6 0.895268
0.175 0.6 0.890326
0.2 0.6 0.885383
ZONE I=5, J=5
0.2 0.4 0.833761
0.225 0.4 0.825492
0.25 0.4 0.817224
0.275 0.4 0.808955
0.3 0.4 0.800687
0.2 0.45 0.846667
0.225 0.45 0.838991
0.25 0.45 0.831316
0.275 0.45 0.823641
0.3 0.45 0.815966
0.2 0.5 0.859572
0.225 0.5 0.85249
0.25 0.5 0.845408
0.275 0.5 0.838327
0.3 0.5 0.831245
0.2 0.55 0.872478
0.225 0.55 0.865989
0.25 0.55 0.859501
0.275 0.55 0.853012
0.3 0.55 0.846524
0.2 0.6 0.885383
0.225 0.6 0.879488
0.25 0.6 0.873593
0.275 0.6 0.867698
0.3 0.6 0.861803
ZONE I=5, J=5
0.3 0.4 0.800687
0.325 0.4 0.790984
0.35 0.4 0.78128
0.375 0.4 0.771577
0.4 0.4 0.761874
0.3 0.45 0.815966
0.325 0.45 0.806938
0.35 0.45 0.79791
0.375 0.45 0.788882
0.4 0.45 0.779855
0.3 0.5 0.831245
0.325 0.5 0.822892
0.35 0.5 0.81454
0.375 0.5 0.806188
0.4 0.5 0.797835
0.3 0.55 0.846524
0.325 0.55 0.838847
0.35 0.55 0.83117
0.375 0.55 0.823493
0.4 0.55 0.815816
0.3 0.6 0.861803
0.325 0.6 0.854801
0.35 0.6 0.847799
0.375 0.6 0.840798
0.4 0.6 0.833796
ZONE I=5, J=5
0.4 0.4 0.761874
0.425 0.4 0.750573
0.45 0.4 0.739271
0.475 0.4 0.72797
0.5 0.4 0.716669
0.4 0.45 0.779855
0.425 0.45 0.769311
0.45 0.45 0.758767
0.475 0.45 0.748223
0.5 0.45 0.737679
0.4 0.5 0.797835
0.425 0.5 0.788048
0.45 0.5 0.778262
0.475 0.5 0.768475
0.5 0.5 0.758689
0.4 0.55 0.815816
0.425 0.55 0.806786
0.45 0.55 0.797757
0.475 0.55 0.788728
0.5 0.55 0.779699
0.4 0.6 0.833796
0.425 0.6 0.825524
0.45 0.6 0.817252
0.475 0.6 0.80898
0.5 0.6 0.800709
ZONE I=5, J=5
0.5 0.4 0.716669
0.525 0.4 0.703621
0.55 0.4 0.690574
0.575 0.4 0.677527
0.6 0.4 0.664479
0.5 0.45 0.737679
0.525 0.45 0.725465
0.55 0.45 0.713252
0.575 0.45 0.701039
0.6 0.45 0.688826
0.5 0.5 0.758689
0.525 0.5 0.747309
0.55 0.5 0.73593
0.575 0.5 0.724551
0.6 0.5 0.713172
0.5 0.55 0.779699
0.525 0.55 0.769153
0.55 0.55 0.758608
0.575 0.55 0.748063
0.6 0.55 0.737518
0.5 0.6 0.800709
0.525 0.6 0.790998
0.55 0.6 0.781287
0.575 0.6 0.771576
0.6 0.6 0.761865
ZONE I=5, J=5
0.6 0.4 0.664479
0.625 0.4 0.64957
0.65 0.4 0.63466
0.675 0.4 0.61975
0.7 0.4 0.60484
0.6 0.45 0.688826
0.625 0.45 0.674815
0.65 0.45 0.660803
0.675 0.45 0.646792
0.7 0.45 0.632781
0.6 0.5 0.713172
0.625 0.5 0.70006
0.65 0.5 0.686947
0.675 0.5 0.673835
0.7 0.5 0.660722
0.6 0.55 0.737518
0.625 0.55 0.725304
0.65 0.55 0.713091
0.675 0.55 0.700877
0.7 0.55 0.688663
0.6 0.6 0.761865
0.625 0.6 0.750549
0.65 0.6 0.739234
0.675 0.6 0.727919
0.7 0.6 0.716604
ZONE I=5, J=5
0.7 0.4 0.60484
0.725 0.4 0.588
0.75 0.4 0.57116
0.775 0.4 0.55432
0.8 0.4 0.53748
0.7 0.45 0.632781
0.725 0.45 0.616884
0.75 0.45 0.600987
0.775 0.45 0.58509
0.8 0.45 0.569193
0.7 0.5 0.660722
0.725 0.5 0.645768
0.75 0.5 0.630814
0.775 0.5 0.615859
0.8 0.5 0.600905
0.7 0.55 0.688663
0.725 0.55 0.674652
0.75 0.55 0.66064
0.775 0.55 0.646629
0.8 0.55 0.632617
0.7 0.6 0.716604
0.725 0.6 0.703535
0.75 0.6 0.690467
0.775 0.6 0.677398
0.8 0.6 0.66433
ZONE I=5, J=5
0.8 0.4 0.53748
0.825 0.4 0.518711
0.85 0.4 0.499941
0.875 0.4 0.481172
0.9 0.4 0.462402
0.8 0.45 0.569193
0.825 0.45 0.551381
0.85 0.45 0.533568
0.875 0.45 0.515756
0.9 0.45 0.497944
0.8 0.5 0.600905
0.825 0.5 0.58405
0.85 0.5 0.567196
0.875 0.5 0.550341
0.9 0.5 0.533486
0.8 0.55 0.632617
0.825 0.55 0.61672
0.85 0.55 0.600823
0.875 0.55 0.584925
0.9 0.55 0.569028
0.8 0.6 0.66433
0.825 0.6 0.64939
0.85 0.6 0.63445
0.875 0.6 0.61951
0.9 0.6 0.60457
ZONE I=5, J=5
0.9 0.4 0.462402
0.925 0.4 0.441789
0.95 0.4 0.421176
0.975 0.4 0.400562
1 0.4 0.379949
0.9 0.45 0.497944
0.925 0.45 0.478264
0.95 0.45 0.458584
0.975 0.45 0.438904
1 0.45 0.419224
0.9 0.5 0.533486
0.925 0.5 0.514739
0.95 0.5 0.495993
0.975 0.5 0.477246
1 0.5 0.458499
0.9 0.55 0.569028
0.925 0.55 0.551215
0.95 0.55 0.533401
0.975 0.55 0.515588
1 0.55 0.497774
0.9 0.6 0.60457
0.925 0.6 0.58769
0.95 0.6 0.57081
0.975 0.6 0.55393
1 0.6 0.53705
ZONE I=5, J=5
0 0.6 0.921669
0.025 0.6 0.91754
0.05 0.6 0.91341
0.075 0.6 0.909281
0.1 0.6 0.905152
0 0.65 0.927953
0.025 0.65 0.924142
0.05 0.65 0.920331
0.075 0.65 0.91652
0.1 0.65 0.912709
0 0.7 0.934237
0.025 0.7 0.930745
0.05 0.7 0.927252
0.075 0.7 0.923759
0.1 0.7 0.920266
0 0.75 0.940522
0.025 0.75 0.937347
0.05 0.75 0.934173
