ZONE I=5, J=5
0.6875 0.5 -0.761928 0.14112 -0.55419 
0.75 0.5 -1.19639 0.14112 -0.210796 
0.5 0.625 0.901869 -0.571561 -0.989992 
0.5625 0.625 0.68306 -0.571561 -0.972884 
0.625 0.625 0.436746 -0.571561 -0.820559 
0.6875 0.625 0.162924 -0.571561 -0.55419 
0.75 0.625 -0.138403 -0.571561 -0.210796 
0.5 0.75 0.91788 -0.97753 -0.989992 
0.5625 0.75 0.918038 -0.97753 -0.972884 
0.625 0.75 0.855328 -0.97753 -0.820559 
0.6875 0.75 0.72975 -0.97753 -0.55419 
0.75 0.75 0.541306 -0.97753 -0.210796 
0.5 0.875 0.922172 -0.858934 -0.989992 
0.5625 0.875 0.978267 -0.858934 -0.972884 
0.625 0.875 0.983726 -0.858934 -0.820559 
0.6875 0.875 0.938551 -0.858934 -0.55419 
0.75 0.875 0.842741 -0.858934 -0.210796 
0.5 1 0.914745 -0.279415 -0.989992 
0.5625 1 0.863746 -0.279415 -0.972884 
0.625 1 0.82194 -0.279415 -0.820559 
0.6875 1 0.789326 -0.279415 -0.55419 
0.75 1 0.765903 -0.279415 -0.210796 
ZONE I=5, J=5
0.75 0.5 -1.19639 0.14112 -0.210796 
0.8125 0.5 -1.16819 0.14112 0.161895 
0.875 0.5 -1.13611 0.14112 0.512085 
0.9375 0.5 -1.10014 0.14112 0.791104 
1 0.5 -1.06027 0.14112 0.96017 
0.75 0.625 -0.138403 -0.571561 -0.210796 
0.8125 0.625 -0.573668 -0.571561 0.161895 
0.875 0.625 -0.917571 -0.571561 0.512085 
0.9375 0.625 -1.17011 -0.571561 0.791104 
1 0.625 -1.33129 -0.571561 0.96017 
0.75 0.75 0.541306 -0.97753 -0.210796 
0.8125 0.75 -0.0390632 -0.97753 0.161895 
0.875 0.75 -0.512385 -0.97753 0.512085 
0.9375 0.75 -0.878661 -0.97753 0.791104 
1 0.75 -1.13789 -0.97753 0.96017 
0.75 0.875 0.842741 -0.858934 -0.210796 
0.8125 0.875 0.435621 -0.858934 0.161895 
0.875 0.875 0.0794455 -0.858934 0.512085 
0.9375 0.875 -0.225784 -0.858934 0.791104 
1 0.875 -0.480068 -0.858934 0.96017 
0.75 1 0.765903 -0.279415 -0.210796 
0.8125 1 0.850383 -0.279415 0.161895 
0.875 1 0.857921 -0.279415 0.512085 
0.9375 1 0.788518 -0.279415 0.791104 
1 1 0.642173 -0.279415 0.96017 
ZONE I=5, J=5
0 1 1 -0.279415 1 
0.0625 1 0.989719 -0.279415 0.930508 
0.125 1 0.979109 -0.279415 0.731689 
0.1875 1 0.968169 -0.279415 0.431177 
0.25 1 0.956899 -0.279415 0.0707372 
0 1.125 1 0.450044 1 
0.0625 1.125 0.990718 0.450044 0.930508 
0.125 1.125 0.981314 0.450044 0.731689 
0.1875 1.125 0.971789 0.450044 0.431177 
0.25 1.125 0.962142 0.450044 0.0707372 
0 1.25 1 0.938 1 
0.0625 1.25 0.991874 0.938 0.930508 
0.125 1.25 0.983741 0.938 0.731689 
0.1875 1.25 0.975599 0.938 0.431177 
0.25 1.25 0.967449 0.938 0.0707372 
0 1.375 1 0.922604 1 
0.0625 1.375 0.993189 0.922604 0.930508 
0.125 1.375 0.986389 0.922604 0.731689 
0.1875 1.375 0.9796 0.922604 0.431177 
0.25 1.375 0.972821 0.922604 0.0707372 
0 1.5 1 0.412118 1 
0.0625 1.5 0.994662 0.412118 0.930508 
0.125 1.5 0.98926 0.412118 0.731689 
0.1875 1.5 0.983792 0.412118 0.431177 
0.25 1.5 0.978258 0.412118 0.0707372 
ZONE I=5, J=5
0.25 1 0.956899 -0.279415 0.0707372 
0.3125 1 0.952043 -0.279415 -0.299534 
0.375 1 0.943398 -0.279415 -0.628174 
0.4375 1 0.930966 -0.279415 -0.869507 
0.5 1 0.914745 -0.279415 -0.989992 
0.25 1.125 0.962142 0.450044 0.0707372 
0.3125 1.125 0.954203 0.450044 -0.299534 
0.375 1.125 0.944299 0.450044 -0.628174 
0.4375 1.125 0.932429 0.450044 -0.869507 
0.5 1.125 0.918592 0.450044 -0.989992 
0.25 1.25 0.967449 0.938 0.0707372 
0.3125 1.25 0.958478 0.938 -0.299534 
0.375 1.25 0.94885 0.938 -0.628174 
0.4375 1.25 0.938566 0.938 -0.869507 
0.5 1.25 0.927625 0.938 -0.989992 
0.25 1.375 0.972821 0.922604 0.0707372 
0.3125 1.375 0.964866 0.922604 -0.299534 
0.375 1.375 0.957052 0.922604 -0.628174 
0.4375 1.375 0.949377 0.922604 -0.869507 
0.5 1.375 0.941843 0.922604 -0.989992 
0.25 1.5 0.978258 0.412118 0.0707372 
0.3125 1.5 0.973369 0.412118 -0.299534 
0.375 1.5 0.968904 0.412118 -0.628174 
0.4375 1.5 0.964863 0.412118 -0.869507 
0.5 1.5 0.961246 0.412118 -0.989992 
ZONE I=5, J=5
0.5 1 0.914745 -0.279415 -0.989992 
