ZONE I=5, J=5
0.25 0.9 2.89379e-06 -0.000224148 
0.3 0.9 6.70031e-05 -0.000214749 
0.35 0.9 0.00012489 -0.000183682 
0.4 0.9 0.000176555 -0.000130949 
0.2 0.95 -9.25014e-05 -0.000292119 
0.25 0.95 3.99379e-06 -0.000308995 
0.3 0.95 9.19378e-05 -0.000296023 
0.35 0.95 0.00017133 -0.000253205 
0.4 0.95 0.000242172 -0.00018054 
0.2 1 -0.000123795 -0.000393601 
0.25 1 5.38455e-06 -0.000416272 
0.3 1 0.000123093 -0.000398772 
0.35 1 0.000229332 -0.000341101 
0.4 1 0.000324099 -0.000243259 
ZONE I=5, J=5
0.4 0.8 9.42511e-05 -7.11519e-05 
0.45 0.8 0.000110444 -3.5576e-05 
0.5 0.8 0.000115841 1.04002e-13 
0.55 0.8 0.000110444 3.5576e-05 
0.6 0.8 9.42511e-05 7.11519e-05 
0.4 0.85 0.000127248 -9.44862e-05 
0.45 0.85 0.000149013 -4.72431e-05 
0.5 0.85 0.000156268 1.27861e-13 
0.55 0.85 0.000149013 4.72431e-05 
0.6 0.85 0.000127248 9.44862e-05 
0.4 0.9 0.000176555 -0.000130949 
0.45 0.9 0.000206759 -6.54744e-05 
0.5 0.9 0.000216827 1.6093e-13 
0.55 0.9 0.000206759 6.54744e-05 
0.6 0.9 0.000176555 0.000130949 
0.4 0.95 0.000242172 -0.00018054 
0.45 0.95 0.000283681 -9.02698e-05 
0.5 0.95 0.000297517 2.03209e-13 
0.55 0.95 0.000283681 9.02698e-05 
0.6 0.95 0.000242172 0.00018054 
0.4 1 0.000324099 -0.000243259 
0.45 1 0.000379779 -0.000121629 
0.5 1 0.000398339 2.54697e-13 
0.55 1 0.000379779 0.000121629 
0.6 1 0.000324099 0.000243259 
ZONE I=5, J=5
0.6 0.8 9.42511e-05 7.11519e-05 
0.65 0.8 6.6692e-05 9.97574e-05 
0.7 0.8 3.5797e-05 0.000116622 
0.75 0.8 1.56607e-06 0.000121745 
0.8 0.8 -3.60007e-05 0.000115126 
0.6 0.85 0.000127248 9.44862e-05 
0.65 0.85 9.00106e-05 0.000132533 
0.7 0.85 4.82895e-05 0.000154948 
0.75 0.85 2.08455e-06 0.000161731 
0.8 0.85 -4.86043e-05 0.000152882 
0.6 0.9 0.000176555 0.000130949 
0.65 0.9 0.00012489 0.000183682 
0.7 0.9 6.70031e-05 0.000214749 
0.75 0.9 2.89379e-06 0.000224148 
0.8 0.9 -6.74379e-05 0.00021188 
0.6 0.95 0.000242172 0.00018054 
0.65 0.95 0.00017133 0.000253205 
0.7 0.95 9.19378e-05 0.000296023 
0.75 0.95 3.99379e-06 0.000308995 
0.8 0.95 -9.25014e-05 0.000292119 
0.6 1 0.000324099 0.000243259 
0.65 1 0.000229332 0.000341101 
0.7 1 0.000123093 0.000398772 
0.75 1 5.38455e-06 0.000416272 
0.8 1 -0.000123795 0.000393601 
ZONE I=5, J=5
0.8 0.8 -3.60007e-05 0.000115126 
0.85 0.8 -6.92259e-05 9.72294e-05 
0.9 0.8 -9.37177e-05 7.20761e-05 
0.95 0.8 -0.000109476 3.96663e-05 
1 0.8 -0.000116501 -4.65556e-13 
0.8 0.85 -4.86043e-05 0.000152882 
0.85 0.85 -9.33835e-05 0.000129153 
0.9 0.85 -0.000126424 9.57633e-05 
0.95 0.85 -0.000147725 5.27122e-05 
1 0.85 -0.000157287 -6.18807e-13 
0.8 0.9 -6.74379e-05 0.00021188 
0.85 0.9 -0.000129572 0.000178996 
0.9 0.9 -0.000175416 0.000132722 
0.95 0.9 -0.00020497 7.30566e-05 
1 0.9 -0.000218234 -8.41909e-13 
0.8 0.95 -9.25014e-05 0.000292119 
0.85 0.95 -0.000177793 0.000246759 
0.9 0.95 -0.000240696 0.000182953 
0.95 0.95 -0.000281212 0.0001007 
1 0.95 -0.000299341 -1.13486e-12 
0.8 1 -0.000123795 0.000393601 
0.85 1 -0.000238044 0.000332441 
0.9 1 -0.000322263 0.000246455 
0.95 1 -0.000376451 0.000135641 
1 1 -0.000400609 -1.49767e-12 
ZONE I=5, J=5
0 1 -0.000400609 -1.49767e-12 
0.05 1 -0.000376451 -0.000135641 
0.1 1 -0.000322263 -0.000246455 
0.15 1 -0.000238044 -0.000332441 
0.2 1 -0.000123795 -0.000393601 
0 1.05 -0.000541333 -1.99208e-12 
0.05 1.05 -0.000508427 -0.000180372 
0.1 1.05 -0.000435116 -0.000327667 
0.15 1.05 -0.000321401 -0.000441888 
0.2 1.05 -0.000167281 -0.000523032 
0 1.1 -0.000752079 -2.70588e-12 
0.05 1.1 -0.000706371 -0.000250287 
0.1 1.1 -0.000604523 -0.000454673 
0.15 1.1 -0.000446535 -0.000613157 
0.2 1.1 -0.000232405 -0.00072574 
0 1.15 -0.00103285 -3.63907e-12 
0.05 1.15 -0.000970284 -0.000345388 
0.1 1.15 -0.000830484 -0.000627471 
0.15 1.15 -0.000613445 -0.000846249 
0.2 1.15 -0.000319167 -0.00100172 
0 1.2 -0.00138363 -4.79165e-12 
0.05 1.2 -0.00130017 -0.000465673 
0.1 1.2 -0.001113 -0.000846061 
0.15 1.2 -0.000822132 -0.00114116 
0.2 1.2 -0.000427566 -0.00135098 
ZONE I=5, J=5
0.2 1 -0.000123795 -0.000393601 
0.25 1 5.38455e-06 -0.000416272 
0.3 1 0.000123093 -0.000398772 
0.35 1 0.000229332 -0.000341101 
0.4 1 0.000324099 -0.000243259 
0.2 1.05 -0.000167281 -0.000523032 
0.25 1.05 7.1758e-06 -0.000553363 
0.3 1.05 0.0001662 -0.000530177 
0.35 1.05 0.00030979 -0.000453473 
0.4 1.05 0.000437948 -0.000323252 
0.2 1.1 -0.000232405 -0.00072574 
0.25 1.1 9.97306e-06 -0.000767843 
0.3 1.1 0.000230907 -0.000735676 
0.35 1.1 0.000430398 -0.000629239 
0.4 1.1 0.000608445 -0.000448532 
0.2 1.15 -0.000319167 -0.00100172 
0.25 1.15 1.37763e-05 -0.00105971 
0.3 1.15 0.000317217 -0.00101527 
0.35 1.15 0.000591154 -0.000868398 
0.4 1.15 0.000835589 -0.000619099 
0.2 1.2 -0.000427566 -0.00135098 
0.25 1.2 1.85856e-05 -0.00142897 
0.3 1.2 0.000425128 -0.00136896 
0.35 1.2 0.00079206 -0.00117095 
0.4 1.2 0.00111938 -0.000834953 
ZONE I=5, J=5
0.4 1 0.000324099 -0.000243259 
0.45 1 0.000379779 -0.000121629 
0.5 1 0.000398339 2.54697e-13 
0.55 1 0.000379779 0.000121629 
0.6 1 0.000324099 0.000243259 
0.4 1.05 0.000437948 -0.000323252 
0.45 1.05 0.000512862 -0.000161626 
0.5 1.05 0.000537833 3.00675e-13 
0.55 1.05 0.000512862 0.000161626 
0.6 1.05 0.000437948 0.000323252 
0.4 1.1 0.000608445 -0.000448532 
0.45 1.1 0.000712535 -0.000224266 
0.5 1.1 0.000747232 3.58069e-13 
0.55 1.1 0.000712535 0.000224266 
0.6 1.1 0.000608445 0.000448532 
0.4 1.15 0.000835589 -0.000619099 
0.45 1.15 0.000978799 -0.000309549 
0.5 1.15 0.00102653 4.26876e-13 
0.55 1.15 0.000978799 0.000309549 
0.6 1.15 0.000835589 0.000619099 
0.4 1.2 0.00111938 -0.000834953 
0.45 1.2 0.00131165 -0.000417476 
0.5 1.2 0.00137574 5.07098e-13 
0.55 1.2 0.00131165 0.000417476 
0.6 1.2 0.00111938 0.000834953 
ZONE I=5, J=5
0.6 1 0.000324099 0.000243259 
0.65 1 0.000229332 0.000341101 
0.7 1 0.000123093 0.000398772 
0.75 1 5.38455e-06 0.000416272 
0.8 1 -0.000123795 0.000393601 
0.6 1.05 0.000437948 0.000323252 
0.65 1.05 0.00030979 0.000453473 
0.7 1.05 0.0001662 0.000530177 
0.75 1.05 7.1758e-06 0.000553363 
0.8 1.05 -0.000167281 0.000523032 
0.6 1.1 0.000608445 0.000448532 
0.65 1.1 0.000430398 0.000629239 
0.7 1.1 0.000230907 0.000735676 
0.75 1.1 9.97306e-06 0.000767843 
0.8 1.1 -0.000232405 0.00072574 
0.6 1.15 0.000835589 0.000619099 
0.65 1.15 0.000591154 0.000868398 
0.7 1.15 0.000317217 0.00101527 
0.75 1.15 1.37763e-05 0.00105971 
0.8 1.15 -0.000319167 0.00100172 
0.6 1.2 0.00111938 0.000834953 
0.65 1.2 0.00079206 0.00117095 
0.7 1.2 0.000425128 0.00136896 
0.75 1.2 1.85856e-05 0.00142897 
0.8 1.2 -0.000427566 0.00135098 
ZONE I=5, J=5
0.8 1 -0.000123795 0.000393601 
0.85 1 -0.000238044 0.000332441 
0.9 1 -0.000322263 0.000246455 
0.95 1 -0.000376451 0.000135641 
1 1 -0.000400609 -1.49767e-12 
0.8 1.05 -0.000167281 0.000523032 
0.85 1.05 -0.000321401 0.000441888 
0.9 1.05 -0.000435116 0.000327667 
0.95 1.05 -0.000508427 0.000180372 
1 1.05 -0.000541333 -1.99208e-12 
0.8 1.1 -0.000232405 0.00072574 
0.85 1.1 -0.000446535 0.000613157 
0.9 1.1 -0.000604523 0.000454673 
0.95 1.1 -0.000706371 0.000250287 
1 1.1 -0.000752079 -2.70588e-12 
0.8 1.15 -0.000319167 0.00100172 
0.85 1.15 -0.000613445 0.000846249 
0.9 1.15 -0.000830484 0.000627471 
0.95 1.15 -0.000970284 0.000345388 
1 1.15 -0.00103285 -3.63907e-12 
0.8 1.2 -0.000427566 0.00135098 
0.85 1.2 -0.000822132 0.00114116 
0.9 1.2 -0.001113 0.000846061 
0.95 1.2 -0.00130017 0.000465673 
1 1.2 -0.00138363 -4.79165e-12 
ZONE I=5, J=5
0 1.2 -0.00138363 -4.79165e-12 
0.05 1.2 -0.00130017 -0.000465673 
0.1 1.2 -0.001113 -0.000846061 
0.15 1.2 -0.000822132 -0.00114116 
0.2 1.2 -0.000427566 -0.00135098 
0 1.25 -0.00187129 -6.39086e-12 
0.05 1.25 -0.00175759 -0.000619678 
0.1 1.25 -0.00150419 -0.00112567 
0.15 1.25 -0.00111108 -0.00151797 
0.2 1.25 -0.000578259 -0.00179659 
0 1.3 -0.00260337 -8.65749e-12 
0.05 1.3 -0.00244519 -0.000860979 
0.1 1.3 -0.00209264 -0.00156399 
0.15 1.3 -0.00154574 -0.00210903 
0.2 1.3 -0.000804486 -0.0024961 
0 1.35 -0.00357989 -1.15915e-11 
0.05 1.35 -0.00336296 -0.00118958 
0.1 1.35 -0.00287837 -0.00216102 
0.15 1.35 -0.00212614 -0.00291434 
0.2 1.35 -0.00110625 -0.00344952 
0 1.4 -0.00480084 -1.5193e-11 
0.05 1.4 -0.0045109 -0.00160547 
0.1 1.4 -0.00386138 -0.00291677 
0.15 1.4 -0.00285225 -0.0039339 
0.2 1.4 -0.00148354 -0.00465686 
ZONE I=5, J=5
0.2 1.2 -0.000427566 -0.00135098 
0.25 1.2 1.85856e-05 -0.00142897 
0.3 1.2 0.000425128 -0.00136896 
0.35 1.2 0.00079206 -0.00117095 
0.4 1.2 0.00111938 -0.000834953 
0.2 1.25 -0.000578259 -0.00179659 
0.25 1.25 2.48262e-05 -0.00190095 
0.3 1.25 0.000574548 -0.00182137 
0.35 1.25 0.00107091 -0.00155784 
0.4 1.25 0.0015139 -0.00111035 
0.2 1.3 -0.000804486 -0.0024961 
0.25 1.3 3.4536e-05 -0.00264114 
0.3 1.3 0.000799319 -0.00253059 
0.35 1.3 0.00148986 -0.00216443 
0.4 1.3 0.00210617 -0.00154268 
0.2 1.35 -0.00110625 -0.00344952 
0.25 1.35 4.7715e-05 -0.00364954 
0.3 1.35 0.00109944 -0.00349661 
0.35 1.35 0.00204893 -0.00299073 
0.4 1.35 0.00289619 -0.00213192 
0.2 1.4 -0.00148354 -0.00465686 
0.25 1.4 6.43632e-05 -0.00492613 
0.3 1.4 0.00147491 -0.00471943 
0.35 1.4 0.00274811 -0.00403675 
0.4 1.4 0.00388396 -0.0028781 
ZONE I=5, J=5
0.4 1.2 0.00111938 -0.000834953 
0.45 1.2 0.00131165 -0.000417476 
0.5 1.2 0.00137574 5.07098e-13 
0.55 1.2 0.00131165 0.000417476 
0.6 1.2 0.00111938 0.000834953 
0.4 1.25 0.0015139 -0.00111035 
0.45 1.25 0.00177293 -0.000555176 
0.5 1.25 0.00185928 5.29357e-13 
0.55 1.25 0.00177293 0.000555176 
0.6 1.25 0.0015139 0.00111035 
0.4 1.3 0.00210617 -0.00154268 
0.45 1.3 0.00246653 -0.000771338 
0.5 1.3 0.00258665 5.25734e-13 
0.55 1.3 0.00246653 0.000771338 
0.6 1.3 0.00210617 0.00154268 
0.4 1.35 0.00289619 -0.00213192 
0.45 1.35 0.00339245 -0.00106596 
0.5 1.35 0.00355787 4.96229e-13 
0.55 1.35 0.00339245 0.00106596 
0.6 1.35 0.00289619 0.00213192 
0.4 1.4 0.00388396 -0.0028781 
0.45 1.4 0.00455068 -0.00143905 
0.5 1.4 0.00477292 4.40841e-13 
0.55 1.4 0.00455068 0.00143905 
0.6 1.4 0.00388396 0.0028781 
ZONE I=5, J=5
0.6 1.2 0.00111938 0.000834953 
0.65 1.2 0.00079206 0.00117095 
0.7 1.2 0.000425128 0.00136896 
0.75 1.2 1.85856e-05 0.00142897 
0.8 1.2 -0.000427566 0.00135098 
0.6 1.25 0.0015139 0.00111035 
0.65 1.25 0.00107091 0.00155784 
0.7 1.25 0.000574548 0.00182137 
0.75 1.25 2.48262e-05 0.00190095 
0.8 1.25 -0.000578259 0.00179659 
0.6 1.3 0.00210617 0.00154268 
0.65 1.3 0.00148986 0.00216443 
0.7 1.3 0.000799319 0.00253059 
0.75 1.3 3.4536e-05 0.00264114 
0.8 1.3 -0.000804486 0.0024961 
0.6 1.35 0.00289619 0.00213192 
0.65 1.35 0.00204893 0.00299073 
0.7 1.35 0.00109944 0.00349661 
0.75 1.35 4.7715e-05 0.00364954 
0.8 1.35 -0.00110625 0.00344952 
0.6 1.4 0.00388396 0.0028781 
0.65 1.4 0.00274811 0.00403675 
0.7 1.4 0.00147491 0.00471943 
0.75 1.4 6.43632e-05 0.00492613 
0.8 1.4 -0.00148354 0.00465686 
ZONE I=5, J=5
0.8 1.2 -0.000427566 0.00135098 
0.85 1.2 -0.000822132 0.00114116 
0.9 1.2 -0.001113 0.000846061 
0.95 1.2 -0.00130017 0.000465673 
1 1.2 -0.00138363 -4.79165e-12 
0.8 1.25 -0.000578259 0.00179659 
0.85 1.25 -0.00111108 0.00151797 
0.9 1.25 -0.00150419 0.00112567 
0.95 1.25 -0.00175759 0.000619678 
1 1.25 -0.00187129 -6.39086e-12 
0.8 1.3 -0.000804486 0.0024961 
0.85 1.3 -0.00154574 0.00210903 
0.9 1.3 -0.00209264 0.00156399 
0.95 1.3 -0.00244519 0.000860979 
1 1.3 -0.00260337 -8.65749e-12 
0.8 1.35 -0.00110625 0.00344952 
0.85 1.35 -0.00212614 0.00291434 
0.9 1.35 -0.00287837 0.00216102 
0.95 1.35 -0.00336296 0.00118958 
1 1.35 -0.00357989 -1.15915e-11 
0.8 1.4 -0.00148354 0.00465686 
0.85 1.4 -0.00285225 0.0039339 
0.9 1.4 -0.00386138 0.00291677 
0.95 1.4 -0.0045109 0.00160547 
1 1.4 -0.00480084 -1.5193e-11 
ZONE I=5, J=5
0 1.4 -0.00480084 -1.5193e-11 
0.05 1.4 -0.0045109 -0.00160547 
0.1 1.4 -0.00386138 -0.00291677 
0.15 1.4 -0.00285225 -0.0039339 
0.2 1.4 -0.00148354 -0.00465686 
0 1.45 -0.00649798 -2.04728e-11 
0.05 1.45 -0.00610376 -0.00213804 
0.1 1.45 -0.00522402 -0.00388367 
0.15 1.45 -0.00385876 -0.00523691 
0.2 1.45 -0.00200799 -0.00619776 
0 1.5 -0.00905304 -2.75871e-11 
0.05 1.5 -0.00850361 -0.00297428 
0.1 1.5 -0.00727789 -0.00540294 
0.15 1.5 -0.00537587 -0.007286 
0.2 1.5 -0.00279754 -0.00862346 
0 1.55 -0.012466 -3.65358e-11 
0.05 1.55 -0.0117105 -0.00411419 
0.1 1.55 -0.010023 -0.00747458 
0.15 1.55 -0.00740357 -0.0100812 
0.2 1.55 -0.00385221 -0.0119339 
0 1.6 -0.0167369 -4.73189e-11 
0.05 1.6 -0.0157243 -0.00555777 
0.1 1.6 -0.0134593 -0.0100986 
0.15 1.6 -0.00994188 -0.0136224 
0.2 1.6 -0.00517198 -0.0161292 
ZONE I=5, J=5
0.2 1.4 -0.00148354 -0.00465686 
0.25 1.4 6.43632e-05 -0.00492613 
0.3 1.4 0.00147491 -0.00471943 
0.35 1.4 0.00274811 -0.00403675 
0.4 1.4 0.00388396 -0.0028781 
0.2 1.45 -0.00200799 -0.00619776 
0.25 1.45 8.64296e-05 -0.00655829 
0.3 1.45 0.0019954 -0.00628392 
0.35 1.45 0.00371891 -0.00537463 
0.4 1.45 0.00525698 -0.00383043 
0.2 1.5 -0.00279754 -0.00862346 
0.25 1.5 0.000120342 -0.00912421 
0.3 1.5 0.00277991 -0.00874215 
0.35 1.5 0.00518115 -0.00747727 
0.4 1.5 0.00732407 -0.00532959 
0.2 1.55 -0.00385221 -0.0119339 
0.25 1.55 0.000166102 -0.0126239 
0.3 1.55 0.00382844 -0.0120941 
0.35 1.55 0.00713481 -0.0103447 
0.4 1.55 0.0100852 -0.00737559 
0.2 1.6 -0.00517198 -0.0161292 
0.25 1.6 0.000223707 -0.0170573 
0.3 1.6 0.00514101 -0.0163398 
0.35 1.6 0.00957992 -0.0139769 
0.4 1.6 0.0135404 -0.00996842 
ZONE I=5, J=5
0.4 1.4 0.00388396 -0.0028781 
0.45 1.4 0.00455068 -0.00143905 
0.5 1.4 0.00477292 4.40841e-13 
0.55 1.4 0.00455068 0.00143905 
0.6 1.4 0.00388396 0.0028781 
0.4 1.45 0.00525698 -0.00383043 
0.45 1.45 0.00615717 -0.00191521 
0.5 1.45 0.00645724 -4.53949e-14 
0.55 1.45 0.00615717 0.00191521 
0.6 1.45 0.00525698 0.00383043 
0.4 1.5 0.00732407 -0.00532959 
0.45 1.5 0.00857799 -0.00266479 
0.5 1.5 0.00899597 -7.72817e-13 
0.55 1.5 0.00857799 0.00266479 
0.6 1.5 0.00732407 0.00532959 
0.4 1.55 0.0100852 -0.00737559 
0.45 1.55 0.0118131 -0.00368779 
0.5 1.55 0.0123891 -1.74142e-12 
0.55 1.55 0.0118131 0.00368779 
0.6 1.55 0.0100852 0.00737559 
0.4 1.6 0.0135404 -0.00996842 
0.45 1.6 0.0158626 -0.00498421 
0.5 1.6 0.0166366 -2.95122e-12 
0.55 1.6 0.0158626 0.00498421 
0.6 1.6 0.0135404 0.00996842 
ZONE I=5, J=5
0.6 1.4 0.00388396 0.0028781 
0.65 1.4 0.00274811 0.00403675 
0.7 1.4 0.00147491 0.00471943 
0.75 1.4 6.43632e-05 0.00492613 
0.8 1.4 -0.00148354 0.00465686 
0.6 1.45 0.00525698 0.00383043 
0.65 1.45 0.00371891 0.00537463 
0.7 1.45 0.0019954 0.00628392 
0.75 1.45 8.64296e-05 0.00655829 
0.8 1.45 -0.00200799 0.00619776 
0.6 1.5 0.00732407 0.00532959 
0.65 1.5 0.00518115 0.00747727 
0.7 1.5 0.00277991 0.00874215 
0.75 1.5 0.000120342 0.00912421 
0.8 1.5 -0.00279754 0.00862346 
0.6 1.55 0.0100852 0.00737559 
0.65 1.55 0.00713481 0.0103447 
0.7 1.55 0.00382844 0.0120941 
0.75 1.55 0.000166102 0.0126239 
0.8 1.55 -0.00385221 0.0119339 
0.6 1.6 0.0135404 0.00996842 
0.65 1.6 0.00957992 0.0139769 
0.7 1.6 0.00514101 0.0163398 
0.75 1.6 0.000223707 0.0170573 
0.8 1.6 -0.00517198 0.0161292 
ZONE I=5, J=5
0.8 1.4 -0.00148354 0.00465686 
0.85 1.4 -0.00285225 0.0039339 
0.9 1.4 -0.00386138 0.00291677 
0.95 1.4 -0.0045109 0.00160547 
1 1.4 -0.00480084 -1.5193e-11 
0.8 1.45 -0.00200799 0.00619776 
0.85 1.45 -0.00385876 0.00523691 
0.9 1.45 -0.00522402 0.00388367 
0.95 1.45 -0.00610376 0.00213804 
1 1.45 -0.00649798 -2.04728e-11 
0.8 1.5 -0.00279754 0.00862346 
0.85 1.5 -0.00537587 0.007286 
0.9 1.5 -0.00727789 0.00540294 
0.95 1.5 -0.00850361 0.00297428 
1 1.5 -0.00905304 -2.75871e-11 
0.8 1.55 -0.00385221 0.0119339 
0.85 1.55 -0.00740357 0.0100812 
0.9 1.55 -0.010023 0.00747458 
0.95 1.55 -0.0117105 0.00411419 
1 1.55 -0.012466 -3.65358e-11 
0.8 1.6 -0.00517198 0.0161292 
0.85 1.6 -0.00994188 0.0136224 
0.9 1.6 -0.0134593 0.0100986 
0.95 1.6 -0.0157243 0.00555777 
1 1.6 -0.0167369 -4.73189e-11 
ZONE I=5, J=5
0 1.6 -0.0167369 -4.73189e-11 
0.05 1.6 -0.0157243 -0.00555777 
0.1 1.6 -0.0134593 -0.0100986 
0.15 1.6 -0.00994188 -0.0136224 
0.2 1.6 -0.00517198 -0.0161292 
0 1.65 -0.0226697 -6.60816e-11 
0.05 1.65 -0.0212981 -0.00741047 
0.1 1.65 -0.0182301 -0.0134599 
0.15 1.65 -0.0134659 -0.0181483 
0.2 1.65 -0.00700532 -0.0214757 
0 1.7 -0.0316236 -8.83939e-11 
0.05 1.7 -0.0297145 -0.0103152 
0.1 1.7 -0.0254363 -0.0187444 
0.15 1.7 -0.0187889 -0.0252876 
0.2 1.7 -0.00977223 -0.0299449 
0 1.75 -0.0435986 -1.14256e-10 
0.05 1.75 -0.0409738 -0.0142718 
0.1 1.75 -0.0350779 -0.0259519 
0.15 1.75 -0.0259109 -0.0350401 
0.2 1.75 -0.0134727 -0.0415367 
0 1.8 -0.0585947 -1.43667e-10 
0.05 1.8 -0.0550758 -0.0192804 
0.1 1.8 -0.0471549 -0.0350824 
0.15 1.8 -0.0348319 -0.047406 
0.2 1.8 -0.0181068 -0.0562511 
ZONE I=5, J=5
0.2 1.6 -0.00517198 -0.0161292 
0.25 1.6 0.000223707 -0.0170573 
0.3 1.6 0.00514101 -0.0163398 
0.35 1.6 0.00957992 -0.0139769 
0.4 1.6 0.0135404 -0.00996842 
0.2 1.65 -0.00700532 -0.0214757 
0.25 1.65 0.000302947 -0.0227283 
0.3 1.65 0.00696328 -0.0217786 
0.35 1.65 0.0129757 -0.0186268 
0.4 1.65 0.0183402 -0.0132727 
0.2 1.7 -0.00977223 -0.0299449 
0.25 1.7 0.000424263 -0.0316627 
0.3 1.7 0.0097158 -0.030329 
0.35 1.7 0.0181024 -0.0259437 
0.4 1.7 0.025584 -0.018507 
0.2 1.75 -0.0134727 -0.0415367 
0.25 1.75 0.000587657 -0.0438606 
0.3 1.75 0.0133986 -0.041991 
0.35 1.75 0.02496 -0.0359278 
0.4 1.75 0.035272 -0.0256711 
0.2 1.8 -0.0181068 -0.0562511 
0.25 1.8 0.000793128 -0.0593219 
0.3 1.8 0.0180116 -0.0567646 
0.35 1.8 0.0335486 -0.0485789 
0.4 1.8 0.0474041 -0.0347651 
ZONE I=5, J=5
0.4 1.6 0.0135404 -0.00996842 
0.45 1.6 0.0158626 -0.00498421 
0.5 1.6 0.0166366 -2.95122e-12 
0.55 1.6 0.0158626 0.00498421 
0.6 1.6 0.0135404 0.00996842 
0.4 1.65 0.0183402 -0.0132727 
0.45 1.65 0.0214853 -0.00663637 
0.5 1.65 0.0225337 -7.39621e-12 
0.55 1.65 0.0214853 0.00663637 
0.6 1.65 0.0183402 0.0132727 
0.4 1.7 0.025584 -0.018507 
0.45 1.7 0.0299767 -0.00925348 
0.5 1.7 0.031441 -1.26802e-11 
0.55 1.7 0.0299767 0.00925348 
0.6 1.7 0.025584 0.018507 
0.4 1.75 0.035272 -0.0256711 
0.45 1.75 0.041337 -0.0128355 
0.5 1.75 0.0433587 -1.88031e-11 
0.55 1.75 0.041337 0.0128355 
0.6 1.75 0.035272 0.0256711 
0.4 1.8 0.0474041 -0.0347651 
0.45 1.8 0.055566 -0.0173825 
0.5 1.8 0.0582866 -2.57649e-11 
0.55 1.8 0.055566 0.0173825 
0.6 1.8 0.0474041 0.0347651 
ZONE I=5, J=5
0.6 1.6 0.0135404 0.00996842 
0.65 1.6 0.00957992 0.0139769 
0.7 1.6 0.00514101 0.0163398 
0.75 1.6 0.000223707 0.0170573 
0.8 1.6 -0.00517198 0.0161292 
0.6 1.65 0.0183402 0.0132727 
0.65 1.65 0.0129757 0.0186268 
0.7 1.65 0.00696328 0.0217786 
0.75 1.65 0.000302947 0.0227283 
0.8 1.65 -0.00700532 0.0214757 
0.6 1.7 0.025584 0.018507 
0.65 1.7 0.0181024 0.0259437 
0.7 1.7 0.0097158 0.030329 
0.75 1.7 0.000424263 0.0316627 
0.8 1.7 -0.00977223 0.0299449 
0.6 1.75 0.035272 0.0256711 
0.65 1.75 0.02496 0.0359278 
0.7 1.75 0.0133986 0.041991 
0.75 1.75 0.000587657 0.0438606 
0.8 1.75 -0.0134727 0.0415367 
0.6 1.8 0.0474041 0.0347651 
0.65 1.8 0.0335486 0.0485789 
0.7 1.8 0.0180116 0.0567646 
0.75 1.8 0.000793128 0.0593219 
0.8 1.8 -0.0181068 0.0562511 
ZONE I=5, J=5
0.8 1.6 -0.00517198 0.0161292 
0.85 1.6 -0.00994188 0.0136224 
0.9 1.6 -0.0134593 0.0100986 
0.95 1.6 -0.0157243 0.00555777 
1 1.6 -0.0167369 -4.73189e-11 
0.8 1.65 -0.00700532 0.0214757 
0.85 1.65 -0.0134659 0.0181483 
0.9 1.65 -0.0182301 0.0134599 
0.95 1.65 -0.0212981 0.00741047 
1 1.65 -0.0226697 -6.60816e-11 
0.8 1.7 -0.00977223 0.0299449 
0.85 1.7 -0.0187889 0.0252876 
0.9 1.7 -0.0254363 0.0187444 
0.95 1.7 -0.0297145 0.0103152 
1 1.7 -0.0316236 -8.83939e-11 
0.8 1.75 -0.0134727 0.0415367 
0.85 1.75 -0.0259109 0.0350401 
0.9 1.75 -0.0350779 0.0259519 
0.95 1.75 -0.0409738 0.0142718 
1 1.75 -0.0435986 -1.14256e-10 
0.8 1.8 -0.0181068 0.0562511 
0.85 1.8 -0.0348319 0.047406 
0.9 1.8 -0.0471549 0.0350824 
0.95 1.8 -0.0550758 0.0192804 
1 1.8 -0.0585947 -1.43667e-10 
ZONE I=5, J=5
0 1.8 -0.0585947 -1.43667e-10 
0.05 1.8 -0.0550758 -0.0192804 
0.1 1.8 -0.0471549 -0.0350824 
0.15 1.8 -0.0348319 -0.047406 
0.2 1.8 -0.0181068 -0.0562511 
0 1.85 -0.0795206 -2.208e-10 
0.05 1.85 -0.0746802 -0.0258318 
0.1 1.85 -0.0639089 -0.0468918 
0.15 1.85 -0.0472065 -0.0631802 
0.2 1.85 -0.0245732 -0.0746968 
0 1.9 -0.110882 -3.03695e-10 
0.05 1.9 -0.104336 -0.0358425 
0.1 1.9 -0.0893842 -0.0652465 
0.15 1.9 -0.066027 -0.0882118 
0.2 1.9 -0.0342645 -0.104739 
0 1.95 -0.152679 -3.92352e-10 
0.05 1.95 -0.144043 -0.0493128 
0.1 1.95 -0.123581 -0.0901464 
0.15 1.95 -0.0912934 -0.122501 
0.2 1.95 -0.0471805 -0.146376 
0 2 -0.204912 -4.8677e-10 
0.05 2 -0.193801 -0.0662425 
0.1 2 -0.166499 -0.121592 
0.15 2 -0.123006 -0.166047 
0.2 2 -0.0633213 -0.19961 
ZONE I=5, J=5
0.2 1.8 -0.0181068 -0.0562511 
0.25 1.8 0.000793128 -0.0593219 
0.3 1.8 0.0180116 -0.0567646 
0.35 1.8 0.0335486 -0.0485789 
0.4 1.8 0.0474041 -0.0347651 
